title,Issue key,Issue id,Parent id,labels,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Begin Date),Custom field (Conditions),Custom field (Cucumber Scenario),Custom field (Cucumber Test Type),Custom field (End Date),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Generic Test Definition),Custom field (Manual Test Steps),Custom field (Manual Test Steps (Export)),Custom field (Pre-Condition Type),Custom field (Rank),Custom field (Revision),Sprint,Custom field (Start date),Custom field (Steps Count),Custom field (Story Points),Custom field (Task mode),Custom field (Task progress),Custom field (Test Count),Custom field (Test Execution Status),Custom field (Test Plan Status),Custom field (Test Repository Path),Custom field (Test Set Status),Custom field (Test Type),Custom field (TestRunStatus),Comment
Delete Assignment (Future),AFS-26,10113,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:38,10/06/20 13:38,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i0004n:,,,,,,,,,"{""issueId"":10113,""testStatuses"":[]}",,,,,,
View Print Test Assignment,AFS-24,10111,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:24,10/06/20 13:35,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i00047:,,,,,,,,,"{""issueId"":10111,""testStatuses"":[]}",,,,,,
Assignment-Task Creator,AFS-17,10104,,Epic,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:17,10/06/20 13:17,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-11,,Assignment-Task Creator,To Do,,[],,,0|i0002n:,,,,,,,,,"{""issueId"":10104,""testStatuses"":[]}",,,,,,
BrowseBook create intent,AFS-16,10103,,Epic,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:16,10/06/20 13:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,BrowseBook-Intent,To Do,,[],,,0|i0002f:,,,,,,,,,"{""issueId"":10103,""testStatuses"":[]}",,,,,,
Header- Revise,AFS-5,10004,,Task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 21:12,08/06/20 21:59,12/06/20 21:45,,,0,"* Maximise - Text & Back Button
 * Minimise - Back Button
 * In Revise -> Browse Book -> No graph ring to be shown
 * In Revise -> My Lessons -> Graph ring to be shown only on Maximise 
 * Confirmation pop up should open once back button on header is clicked after revision has started. Pop up will contain 2 Options
 ** Yes - User will navigate to previous inter-module screen
 ** No - User will stay on the same screen.",,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-1,,,,[],,,0|i0000n:,,,,,,,,,"{""issueId"":10004,""testStatuses"":[]}",,,,,,
Lesson Intro - Revise,AFS-7,10006,,Task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 21:33,08/06/20 21:59,12/06/20 21:45,,,0,"* Lesson Overview - All TQs and Status to be shown
 * Lesson Objective - Goals , Time and Target to be shown
 ** Visible only from My Lesson
 * Lesson Control in Revise:
 ** Primary Control - Begin revision, Revise Again & Start next lesson (Buttons)
 ** Secondary Control - Not right now & Return to My Lesson
 ** Tertiary Control - Mark as Complete",,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-1,,,,[],,,0|i0000s:,,,,,,,,,"{""issueId"":10006,""testStatuses"":[]}",,,,,,
Revise from My lessons,AFS-3,10002,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 20:36,08/06/20 21:59,12/06/20 21:45,,,0,"As a student, I want to complete my lessons as planned in my study plan, so that I can achieve my overall goals for the subject.

+*States to be shown in Lesson Intro Screen:*+
 * Not started - Then the Resource listing will show no progress
 * Started but not completed - The Resource listing will show progress , if questions have been answered correctly or else there will be no progress.
 * Completed - If all the questions are answered correctly, then the revise will be shown complete in the Summary as well as the resource listing page Behaviours
 * Goals - Target vs Achieved count to be shown . Target will be set from Study Planner.
 * {color:#FF0000}Time - Total time taken to complete the revision. {color}
 * Target - How many bonus achieved. 

*+Acceptance Criteria:+*
 * On Click on goto revise button, user to navigate to Lesson Intro section. Intro Screen will consist of:
 ** Lesson Overview
 ** Lesson Control
 ** Lesson Objective
 * User can add a note while watching the video.
 * Notes can be Created/ Edited or deleted.
 * On click on Lesson control Component, user to navigate to Video page and watch the video. Questions to be answered whenever it's displayed.
 * Video to show Cue point and its data embedded which was created in Notes.
 * End of Revision , questions will be provided to the user.
 * After the questions are completed, summary to be shown. User can restart the questions or go to next resource.
 * On completion of 1 TQ, next TQ will automatically start.
 * Once all the TQs are completed, Updated Overview to be shown.

 ",,arvindn,,,,,,,,,,AFS-12,AFS-5,AFS-7,AFS-9,,,,,,,,,,,,,AFS-1,,,,[],,,0|i0000f:,,,,,,,,,"{""issueId"":10002,""testStatuses"":[]}",,,,,,
Revise Video Player & Notes,AFS-9,10008,,Task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 21:38,08/06/20 21:59,12/06/20 21:45,,,0,"Loads the video using the Video Player.
Video can be played, paused and also notes can be added at specific time, where cue point will also be shown.
1) Creating a Note.
2) Viewing the cue point and its note data at the created time.
3) On the create of a Cue Point, Guidance Component to be shown and at the same time, cue note data to be shown.
4) On video complete, next resource to be loaded and if not present within the same TQ, the first resource from the next TQ to be shown",,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-1,,,,[],,,0|i0000t:,,,,,,,,,"{""issueId"":10008,""testStatuses"":[]}",,,,,,
Revise Summary Component,AFS-12,10011,,Task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 21:46,08/06/20 21:59,12/06/20 21:45,,,0,"Loads the summary which can be a text or an image.

1) Navigation to the next sub resource within a summary.

2) On Summary Complete, next resource to be loaded and if not present within the same TQ, the first resource from the next TQ to be shown.",,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-1,,,,[],,,0|i0000u:i,,,,,,,,,"{""issueId"":10011,""testStatuses"":[]}",,,,,,
OverView Menu Section,AFS-10,10009,,Task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 21:40,08/06/20 21:49,12/06/20 21:45,,,0,"Overview Menu Shows the list of different TQs and its internal resources. Besides this, it also shows the notes and the note list.

 

+Navigation:+

1) Navigation from one resource in a TQ to the other resource between different TQs or within the same TQ. (Navigation depends on the Lock State)

 2) Viewing the Note List with different Notes, Editing and Deleting the Notes. 

3) Navigating to the cue point associated with the note using the cue link, within the same TQ or different TQ

 

 

 ",,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-1,,,,[],,,0|i0000u:,,,,,,,,,"{""issueId"":10009,""testStatuses"":[]}",,,,,,
Revisse from - Browse Books & My Lessons,AFS-1,10000,,Epic,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 20:35,08/06/20 21:46,12/06/20 21:45,,,0,,,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-1,,Revise,To Do,,[],,,0|hzzzzz:,,,,,,,,,"{""issueId"":10000,""testStatuses"":[]}",,,,,,
Lesson Intro Screen,AFS-6,10005,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 21:15,08/06/20 21:32,12/06/20 21:45,,,0,"# Lesson Overview - All TQs and Status to be shown
 # Lesson Objective - Goals , Time and Target to be shown
 ** Visible only from My Lesson
 # Lesson Control in Revise:
 ** Primary Control - Begin revision, Revise Again & Start next lesson (Buttons)
 ** Secondary Control - Not right now & Return to My Lesson
 ** {color:#FF0000}Tertiary Control - Mark as Complete{color}
 # Lesson Control in Practice:
 ** Primary Control - Begin Practice, Practice Again & Start next lesson (Buttons)
 ** Secondary Control - Not right now & Return to My Lesson
 ** {color:#FF0000}Tertiary Control - Mark as Complete{color}",,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00013:,,,,,,,,,"{""issueId"":10005,""testStatuses"":[]}",,,,,,
Header Component,AFS-4,10003,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 20:56,08/06/20 21:14,12/06/20 21:45,,,0,"Header Components:
 # Revise 
 # Practice
 # Test 
 # Study Plan
 # Browse Books
 # My Lessons",,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0000v:,,,,,,,,,"{""issueId"":10003,""testStatuses"":[]}",,,,,,
